,trazoA,trazoB,trazoC,ValorMulta
720,1,0,0,0
721,2,3,5,300
722,2,3,5,600
723,1,0,0,0
724,2,3,5,300
725,1,0,0,0
726,2,3,5,300
727,1,0,0,0
728,1,0,0,0
729,1,0,0,0
730,1,0,0,0
731,1,0,0,0
732,1,0,0,0
733,2,3,5,300
734,2,4,5,0
735,2,3,5,300
736,1,0,0,0
737,2,3,5,0
738,2,4,5,0
739,2,4,5,300
740,2,3,5,600
741,1,0,0,0
742,2,3,5,300
743,1,0,0,0
744,1,0,0,0
745,2,4,5,300
746,1,0,0,0
747,2,3,5,300
748,1,0,0,0
749,2,4,5,0
750,1,0,0,0
751,1,0,0,0
752,1,0,0,0
753,2,3,5,300
754,1,0,0,0
755,1,0,0,0
756,2,4,5,300
757,1,0,0,0
758,2,3,5,300
759,2,4,5,300
760,1,0,0,0
761,1,0,0,0
762,2,3,5,0
763,1,0,0,0
764,2,4,5,300
765,2,3,5,600
766,2,4,5,0
767,2,4,5,300
768,2,3,5,0
769,2,4,5,300
770,1,0,0,0
771,2,3,5,600
772,2,4,5,600
773,1,0,0,0
774,1,0,0,0
775,2,3,5,600
776,1,0,0,0
777,2,3,5,0
778,1,0,0,0
779,1,0,0,0
780,1,0,0,0
781,2,3,5,300
782,2,3,5,600
783,2,3,5,600
784,1,0,0,0
785,1,0,0,0
786,1,0,0,0
787,2,3,5,0
788,2,3,5,600
789,2,4,5,300
790,2,3,5,300
791,2,4,5,300
792,2,4,5,0
793,1,0,0,0
794,2,4,5,0
795,1,0,0,0
796,1,0,0,0
797,1,0,0,0
798,1,0,0,0
799,2,3,5,0
800,2,3,5,0
801,1,0,0,0
802,2,4,5,300
803,1,0,0,0
804,1,0,0,0
805,2,4,5,300
806,1,0,0,0
807,2,4,5,300
808,1,0,0,0
809,2,3,5,300
810,2,4,5,0
811,1,0,0,0
812,1,0,0,0
813,2,3,5,300
814,2,4,5,300
815,1,0,0,0
816,2,3,5,0
817,1,0,0,0
818,1,0,0,0
819,2,3,5,0
820,2,4,5,0
821,1,0,0,0
822,2,4,5,300
823,1,0,0,0
824,2,3,5,300
825,1,0,0,0
826,1,0,0,0
827,2,3,5,0
828,1,0,0,0
829,2,4,5,300
830,1,0,0,0
831,1,0,0,0
832,1,0,0,0
833,2,3,5,300
834,1,0,0,0
835,2,3,5,0
836,1,0,0,0
837,2,4,5,0
838,1,0,0,0
839,2,4,5,300
840,2,3,5,300
841,1,0,0,0
842,1,0,0,0
843,2,3,5,300
844,2,4,5,0
845,2,4,5,300
846,2,4,5,600
847,2,4,5,600
848,1,0,0,0
849,1,0,0,0
850,1,0,0,0
851,1,0,0,0
852,2,3,5,300
853,1,0,0,0
854,2,3,5,300
855,1,0,0,0
856,1,0,0,0
857,1,0,0,0
858,2,4,5,300
859,2,3,5,300
860,2,3,5,600
861,2,3,5,300
862,1,0,0,0
863,1,0,0,0
864,2,3,5,300
865,1,0,0,0
866,2,4,5,300
867,2,4,5,300
868,2,3,5,300
869,1,0,0,0
870,2,3,5,600
871,1,0,0,0
872,1,0,0,0
873,2,3,5,600
874,2,4,5,300
875,2,4,5,0
876,1,0,0,0
877,1,0,0,0
878,1,0,0,0
879,2,3,5,300
880,2,4,5,300
881,2,4,5,0
882,1,0,0,0
883,2,3,5,300
884,2,3,5,600
885,2,3,5,300
886,1,0,0,0
887,1,0,0,0
888,1,0,0,0
889,2,3,5,0
890,2,4,5,0
891,1,0,0,0
892,2,4,5,300
893,2,3,5,300
894,1,0,0,0
895,1,0,0,0
896,2,3,5,0
897,2,3,5,300
898,2,4,5,300
899,1,0,0,0
900,1,0,0,0
901,2,4,5,600
902,2,3,5,300
903,2,4,5,300
904,1,0,0,0
905,2,3,5,0
906,2,3,5,300
907,1,0,0,0
908,1,0,0,0
909,2,3,5,600
910,2,4,5,300
911,2,4,5,300
912,1,0,0,0
913,1,0,0,0
914,2,4,5,0
915,2,3,5,0
916,1,0,0,0
917,1,0,0,0
918,1,0,0,0
919,2,3,5,600
920,2,4,5,300
921,1,0,0,0
922,2,3,5,0
923,2,3,5,0
924,1,0,0,0
925,1,0,0,0
926,2,4,5,0
927,2,3,5,300
928,2,3,5,600
929,2,3,5,600
930,1,0,0,0
931,1,0,0,0
932,1,0,0,0
933,2,4,5,0
934,2,3,5,300
935,1,0,0,0
936,2,3,5,300
937,2,3,5,0
938,1,0,0,0
939,1,0,0,0
940,2,4,5,0
941,2,3,5,0
942,2,3,5,0
943,2,3,5,300
944,1,0,0,0
945,1,0,0,0
946,1,0,0,0
947,1,0,0,0
948,1,0,0,0
949,2,4,5,300
950,2,4,5,0
951,1,0,0,0
952,1,0,0,0
953,2,4,5,300
954,1,0,0,0
955,2,3,5,900
956,2,4,5,0
957,2,3,5,600
958,2,3,5,300
959,1,0,0,0
960,2,3,5,300
961,1,0,0,0
962,1,0,0,0
963,2,3,5,300
964,2,3,5,300
965,2,3,5,300
966,1,0,0,0
967,2,4,5,0
968,1,0,0,0
969,2,4,5,300
970,1,0,0,0
971,2,4,5,300
972,2,4,5,0
973,1,0,0,0
974,2,3,5,600
975,2,4,5,300
976,1,0,0,0
977,1,0,0,0
978,1,0,0,0
979,1,0,0,0
980,2,3,5,0
981,1,0,0,0
982,1,0,0,0
983,2,4,5,300
984,2,3,5,300
985,2,4,5,300
986,2,3,5,300
987,2,4,5,0
988,2,4,5,0
989,1,0,0,0
990,2,3,5,0
991,1,0,0,0
992,1,0,0,0
993,2,4,5,0
994,1,0,0,0
995,1,0,0,0
996,2,3,5,0
997,1,0,0,0
998,2,4,5,300
999,2,3,5,300
1000,1,0,0,0
1001,1,0,0,0
1002,2,4,5,300
1003,2,3,5,300
1004,1,0,0,0
1005,1,0,0,0
1006,1,0,0,0
1007,2,3,5,0
1008,1,0,0,0
1009,1,0,0,0
1010,2,3,5,300
1011,2,4,5,300
1012,2,4,5,300
1013,1,0,0,0
1014,2,3,5,0
1015,2,4,5,0
1016,2,4,5,300
